BTCUSD_D1 2017-05-23 00:00,2104.6,2269.6,2100.4,2255.4,2469
BRENTCMDUSD_D1 2013-05-23 00:00,101.844,102.659,100.618,102.568,871
EURUSD_D1 2007-07-09 00:00,1.36222,1.36327,1.36173,1.36203,272215
USA500IDXUSD_D1 2013-05-23 00:00,1658.773,1659.897,1634.363,1654.863,1369
USATECHIDXUSD_D1 2013-05-22 00:00,3029.127,3045.114,2983.541,3004.966,456
GBPUSD_D1 2007-07-09 00:00,2.01515,2.017,2.0143,2.0154,368242
XAGUSD_D1 2011-02-17 00:00,30.867,31.638,30.847,31.638,278
USA30IDXUSD_D1 2013-05-23 00:00,15343,15353,15155,15328,1374
XAGUSD_D1 2011-02-18 00:00,32.438,32.458,32.327,32.328,7
BRENTCMDUSD_D1 2013-05-24 00:00,102.45,102.768,101.638,102.577,1223
EURUSD_D1 2007-07-10 00:00,1.36196,1.37822,1.35935,1.37429,595668
USATECHIDXUSD_D1 2013-05-23 00:00,3005.197,3006.972,2961.128,2999.245,1375
USA30IDXUSD_D1 2013-05-24 00:00,15328,15345,15311,15322,225
BTCUSD_D1 2017-05-24 00:00,2256.2,2435,2254.4,2429.8,2111
USA500IDXUSD_D1 2013-05-24 00:00,1654.888,1656.685,1652.39,1653.375,224
GBPUSD_D1 2007-07-10 00:00,2.0154,2.0282,2.0121,2.0266,1625785
BRENTCMDUSD_D1 2013-05-27 00:00,102.151,102.63,102.073,102.51,979
USA500IDXUSD_D1 2013-05-27 00:00,1653.384,1655.397,1645.861,1653.872,1015
USATECHIDXUSD_D1 2013-05-24 00:00,2999.21,3002.548,2994.974,2997.675,225
XAGUSD_D1 2011-02-21 00:00,33.657,33.678,33.617,33.668,5
GBPUSD_D1 2007-07-11 00:00,2.0267,2.0363,2.0244,2.0313,2136601
BTCUSD_D1 2017-05-25 00:00,2420.5,2799,2205.8,2329.2,3260
USA30IDXUSD_D1 2013-05-26 00:00,15313,15359,15313,15331,117
EURUSD_D1 2007-07-11 00:00,1.37419,1.37795,1.37299,1.37443,605069
XAGUSD_D1 2011-02-22 00:00,33.068,33.428,32.407,33.168,450
USA30IDXUSD_D1 2013-05-27 00:00,15331,15347,15281,15334,1005
GBPUSD_D1 2007-07-12 00:00,2.0313,2.0365,2.0269,2.02865,1716254
BRENTCMDUSD_D1 2013-05-28 00:00,102.548,104.667,102.458,104.323,1278
BTCUSD_D1 2017-05-26 00:00,2329.2,2661.5,2241.4,2241.6,2833
EURUSD_D1 2007-07-12 00:00,1.37437,1.37971,1.37419,1.37823,595258
USATECHIDXUSD_D1 2013-05-27 00:00,2998.61,3002.192,2984.572,2999.353,1002
USA500IDXUSD_D1 2013-05-28 00:00,1653.877,1674.197,1653.672,1656.397,1366
XAGUSD_D1 2011-02-23 00:00,33.308,33.428,32.978,33.428,131
GBPUSD_D1 2007-07-13 00:00,2.02865,2.0366,2.026,2.034,1441794
USATECHIDXUSD_D1 2013-05-28 00:00,2999.412,3036.306,2999.053,3005.292,1369
BRENTCMDUSD_D1 2013-05-29 00:00,104.112,104.349,102.111,102.123,1281
BTCUSD_D1 2017-05-28 00:00,2117.1,2248.3,2089.7,2180.2,343
USA30IDXUSD_D1 2013-05-28 00:00,15334,15522,15332,15391,1372
EURUSD_D1 2007-07-13 00:00,1.37817,1.38103,1.37621,1.37811,358656
USA500IDXUSD_D1 2013-05-29 00:00,1656.37,1657.9,1639.494,1647.181,1370
EURUSD_D1 2007-07-15 00:00,1.37837,1.37855,1.37676,1.3775,237725
GBPUSD_D1 2007-07-15 00:00,2.03332,2.0343,2.032,2.0341,17177
XAGUSD_D1 2011-02-25 00:00,32.907,33.108,32.527,33.037,667
USA500IDXUSD_D1 2013-05-30 00:00,1647.193,1661.997,1642.186,1654.477,1364
BRENTCMDUSD_D1 2013-05-30 00:00,102.196,102.826,101.068,102.144,1260
BTCUSD_D1 2017-05-29 00:00,2179.5,2352.6,2094.4,2274.3,5501
USA30IDXUSD_D1 2013-05-29 00:00,15391,15403,15226,15293,1370
USATECHIDXUSD_D1 2013-05-29 00:00,3005.289,3008.198,2978.245,2992.838,1372
EURUSD_D1 2007-07-16 00:00,1.37749,1.38019,1.37603,1.37733,519815
GBPUSD_D1 2007-07-16 00:00,2.0341,2.0404,2.03262,2.03629,1249294
XAGUSD_D1 2011-02-28 00:00,33.817,33.878,33.777,33.817,5
BRENTCMDUSD_D1 2013-05-31 00:00,102.071,102.339,100.026,100.059,1215
USA500IDXUSD_D1 2013-05-31 00:00,1654.489,1659.188,1628.661,1628.661,1237
BTCUSD_D1 2017-05-30 00:00,2275,2330.5,2129.4,2191.7,4861
USA30IDXUSD_D1 2013-05-30 00:00,15293,15400,15247,15330,1371
USATECHIDXUSD_D1 2013-05-30 00:00,2993.015,3025.315,2981.525,3009.321,1372
GBPUSD_D1 2007-07-17 00:00,2.03645,2.0492,2.0349,2.0488,1476169
EURUSD_D1 2007-07-17 00:00,1.37734,1.37974,1.3758,1.37935,539416
XAGUSD_D1 2011-03-01 00:00,34.228,34.428,34.177,34.258,107
USATECHIDXUSD_D1 2013-05-31 00:00,3009.263,3022.51,2977.001,2977.001,1244
BRENTCMDUSD_D1 2013-06-03 00:00,99.874,102.34,99.826,102.094,425
BTCUSD_D1 2017-05-31 00:00,2191.4,2335.7,2147.5,2299.8,4936
USA500IDXUSD_D1 2013-06-03 00:00,1632.177,1640.098,1622.087,1635.581,496
USA30IDXUSD_D1 2013-05-31 00:00,15330,15392,15111,15112,1244
XAGUSD_D1 2011-03-03 00:00,34.334,34.584,34.033,34.044,100
EURUSD_D1 2007-07-18 00:00,1.37932,1.3831,1.37565,1.38045,556338
GBPUSD_D1 2007-07-18 00:00,2.0488,2.0547,2.0459,2.0532,1638924
BRENTCMDUSD_D1 2013-06-04 00:00,101.999,103.557,101.457,103.398,1287
USA500IDXUSD_D1 2013-06-04 00:00,1635.48,1646.7,1623.173,1630.99,1368
USATECHIDXUSD_D1 2013-06-03 00:00,2983.002,2989.37,2949.961,2985.373,495
BTCUSD_D1 2017-06-01 00:00,2303.5,2475.2,2298.4,2418.4,2580
USA30IDXUSD_D1 2013-06-02 00:00,15131,15152,15108,15136,120
